x	y
0.034	0.052
0.034	0.052
0.034	0.052
0.034	0.052
0.034	0.052
0.034	0.052
0.034	0.053
0.034	0.053
0.034	0.053
0.034	0.053
0.034	0.053
0.034	0.053
0.034	0.054
0.034	0.054
0.034	0.054
0.034	0.054
0.034	0.054
0.034	0.054
0.034	0.055
0.034	0.055
0.034	0.055
0.034	0.055
0.034	0.055
0.034	0.055
0.034	0.056
0.034	0.056
0.034	0.056
0.034	0.056
0.034	0.056
0.034	0.057
0.034	0.057
0.034	0.057
0.034	0.057
0.034	0.057
0.034	0.057
0.034	0.057
0.034	0.058
0.034	0.058
0.034	0.058
0.034	0.059
0.034	0.059
0.034	0.059
0.034	0.059
0.034	0.060
0.034	0.060
0.034	0.060
0.034	0.060
0.034	0.060
0.034	0.061
0.034	0.061
0.034	0.061
0.034	0.061
0.034	0.062
0.034	0.062
0.034	0.062
0.034	0.063
0.040	0.063
0.040	0.063
0.040	0.063
0.040	0.063
0.040	0.063
0.040	0.064
0.040	0.064
0.040	0.064
0.040	0.065
0.040	0.065
0.040	0.065
0.040	0.065
0.040	0.065
0.040	0.066
0.040	0.066
0.040	0.066
0.040	0.066
0.040	0.066
0.040	0.066
0.040	0.066
0.040	0.067
0.040	0.067
0.040	0.067
0.040	0.067
0.040	0.068
0.040	0.068
0.040	0.068
0.040	0.069
0.040	0.069
0.040	0.069
0.040	0.069
0.040	0.069
0.040	0.069
0.040	0.070
0.040	0.070
0.040	0.070
0.040	0.071
0.040	0.071
0.040	0.071
0.040	0.071
0.040	0.072
0.040	0.072
0.040	0.072
0.040	0.072
0.040	0.072
0.040	0.073
0.040	0.073
0.040	0.073
0.040	0.073
0.040	0.074
0.040	0.074
0.040	0.074
0.040	0.074
0.040	0.075
0.040	0.075
0.040	0.075
0.040	0.075
0.040	0.075
0.040	0.075
0.040	0.075
0.040	0.075
0.040	0.076
0.040	0.076
0.040	0.076
0.040	0.077
0.040	0.077
0.040	0.077
0.040	0.077
0.040	0.078
0.040	0.078
0.040	0.078
0.040	0.078
0.040	0.078
0.040	0.079
0.040	0.079
0.040	0.079
0.040	0.079
0.040	0.079
0.040	0.080
0.040	0.080
0.040	0.080
0.040	0.080
0.040	0.081
0.040	0.081
0.040	0.081
0.040	0.081
0.040	0.082
0.040	0.082
0.040	0.083
0.040	0.083
0.040	0.083
0.040	0.084
0.040	0.084
0.040	0.084
0.040	0.084
0.040	0.085
0.040	0.085
0.040	0.085
0.040	0.085
0.040	0.086
0.040	0.086
0.040	0.086
0.040	0.086
0.040	0.086
0.040	0.086
0.040	0.087
0.040	0.087
0.040	0.087
0.040	0.087
0.040	0.088
0.040	0.088
0.040	0.088
0.040	0.088
0.040	0.088
0.040	0.089
0.040	0.089
0.040	0.090
0.040	0.090
0.040	0.090
0.040	0.090
0.040	0.090
0.040	0.091
0.040	0.091
0.040	0.091
0.040	0.091
0.040	0.092
0.040	0.092
0.040	0.092
0.040	0.092
0.040	0.093
0.040	0.093
0.040	0.093
0.040	0.093
0.040	0.094
0.040	0.094
0.040	0.094
0.040	0.094
0.040	0.095
0.040	0.095
0.040	0.095
0.040	0.096
0.040	0.096
0.040	0.097
0.040	0.097
0.040	0.097
0.040	0.097
0.040	0.098
0.040	0.098
0.040	0.098
0.040	0.098
0.040	0.098
0.040	0.099
0.040	0.099
0.040	0.099
0.040	0.100
0.040	0.100
0.040	0.101
0.040	0.101
